"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush publisher display ads"
"1";"https://mackinstitute.wharton.upenn.edu/2016/innovating-around-the-box-complementary-innovation/";"3,080";"1";"14074";"1"
"2";"https://www.upenn.edu/research-and-innovation";"4,550";"200";"951031";"1"
"3";"https://www.grasp.upenn.edu/startups/lyf-innovation-ltd/";"8,400";"13";"958239";"1"
"4";"https://pathology.med.upenn.edu/research/diagnostic-innovation";"2,490";"0";"8091";"1"
"5";"https://www.nursing.upenn.edu/innovation/innovation-colloquiums/";"6,750";"19";"126006";"1"
"6";"https://weissfund.weisstech.upenn.edu/";"9";"6";"9";"1"
"7";"https://executivemba.wharton.upenn.edu/executive-mba-for-entrepreneurship-innovation/";"1,140";"14";"13655";"1"
"8";"https://mackinstitute.wharton.upenn.edu/corporate-partnership/collaborative-innovation-program-partners/";"3,080";"19";"14074";"1"
"9";"https://mackinstitute.wharton.upenn.edu/students/collaborative-innovation-program/projects-fall-2022/";"3,080";"19";"14074";"1"
"10";"https://knowledge.wharton.upenn.edu/article/apple-innovation-edge/";"16,200";"64";"774552";"1"
"11";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2021/03/crisis-innovation/";"2,010";"2";"48061";"1"
"12";"https://penntoday.upenn.edu/subtopic/presidents-innovation-prize";"38,900";"1";"1749095";"1"
"13";"https://pci.upenn.edu/tag/innovation/";"1,260";"0";"2313";"1"
"14";"https://rnainnovation.med.upenn.edu/";"134";"2";"6";"1"
"15";"https://www.design.upenn.edu/city-regional-planning/graduate/work/sao-paulo-innovation-district";"9,170";"0";"53526";"1"
"16";"https://www.nursing.upenn.edu/live/events/3992-innovation-colloquium-how-organizations-are";"6,750";"0";"126006";"1"
"17";"https://magazine.wharton.upenn.edu/digital/the-trade-war-is-really-about-the-future-of-innovation/";"19,700";"45";"28812";"1"
"18";"https://www.sp2.upenn.edu/research/social-innovation-philanthropy-nonprofit-management/";"2,540";"4";"45177";"1"
"19";"https://pci.upenn.edu/ten-years-of-i-corps-the-program-that-changed-innovation/";"1,260";"0";"2313";"1"
"20";"https://penntoday.upenn.edu/subtopic/innovation";"38,900";"3";"1749095";"1"
"21";"https://venturelab.upenn.edu/venture-lab-food-innovation-lab-applications-open";"275";"0";"694";"1"
"22";"https://www.impact.upenn.edu/franklin-sp2-social-innovation-prize/";"1,220";"12";"9237";"1"
"23";"https://global.upenn.edu/global-initiatives/event/india-pioneer-innovation-constraints-and-opportunities";"4,220";"0";"45970";"1"
"24";"https://medicalethicshealthpolicy.med.upenn.edu/education-master-of-health-innovation";"813";"12";"5369";"1"
"25";"https://pci.upenn.edu/b-phl-innovation-festival-pciv-startup-vasowatch-llc-and-pci-i-corps-participant-viora-health-featured/";"1,260";"2";"2313";"1"
"26";"https://www.design.upenn.edu/xsd";"9,170";"51";"53526";"1"
"27";"https://mackinstitute.wharton.upenn.edu/students/student-sponsorship/";"3,080";"28";"14074";"1"
"28";"https://mackinstitute.wharton.upenn.edu/wharton-technology-and-innovation-conference-2022/agenda/";"3,080";"3";"14074";"1"
"29";"https://mackinstitute.wharton.upenn.edu/students/work-study/";"3,080";"20";"14074";"1"
"30";"https://mackinstitute.wharton.upenn.edu/students/";"3,080";"21";"14074";"1"
"31";"https://www.nursing.upenn.edu/live/news/2131-the-case-for-innovation-education-in-nursing";"6,750";"0";"126006";"1"
"32";"https://pci.upenn.edu/septembers-b-phl-innovation-festival-offers-innovators-a-space-to-connect-network-and-learn-from-global-keynote-speakers/";"1,260";"0";"2313";"1"
"33";"https://www.nursing.upenn.edu/innovation/amplify-nursing-podcast/";"6,750";"152";"126006";"1"
"34";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2013/06/find-innovation-success/";"2,010";"0";"48061";"1"
"35";"https://penniur.upenn.edu/initiatives/innovation-in-higher-education-in-connecticut";"3,180";"0";"6195";"1"
"36";"https://www.gse.upenn.edu/about-penn-gse/catalyst";"6,210";"107";"118312";"1"
"37";"https://wsp.wharton.upenn.edu/book/innovation-tournaments/";"430";"5";"18074";"1"
"38";"https://curf.upenn.edu/content/sachs-program-arts-innovation-0";"7,920";"0";"306";"1"
"39";"https://apps.wharton.upenn.edu/syllabi/2019A/MGMT927002/";"6,710";"0";"3372";"1"
