"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush publisher display ads"
"1";"https://knowledge.wharton.upenn.edu/special-report/inside-the-art-and-craft-of-innovation/";"16,200";"0";"774552";"1"
"2";"https://knowledge.wharton.upenn.edu/article/can-electric-vehicles-revitalize-american-manufacturing/";"16,200";"265";"774552";"1"
"3";"https://knowledge.wharton.upenn.edu/article/how-the-inflation-reduction-act-may-hurt-businesses/";"16,200";"55";"774552";"1"
"4";"https://knowledge.wharton.upenn.edu/special-report/israel-and-the-innovative-impulse/";"16,200";"0";"774552";"1"
"5";"https://knowledge.wharton.upenn.edu/special-report/rebalancing-global-economy/";"16,200";"0";"774552";"1"
"6";"https://knowledge.wharton.upenn.edu/special-report/a-good-read/";"16,200";"0";"774552";"1"
"7";"https://knowledge.wharton.upenn.edu/article/have-electric-vehicle-sales-reached-a-tipping-point-in-the-u-s/";"16,200";"199";"774552";"1"
"8";"https://knowledge.wharton.upenn.edu/special-report/rethinking-operations-for-a-two-speed-world/";"16,200";"0";"774552";"1"
"9";"https://knowledge.wharton.upenn.edu/special-report/germany-seeks-to-position-itself-for-a-greener-brighter-future/";"16,200";"0";"774552";"1"
"10";"https://knowledge.wharton.upenn.edu/article/who-will-win-the-new-space-race/";"16,200";"99";"774552";"1"
"11";"https://knowledge.wharton.upenn.edu/special-report/smart-city-pioneers-forging-solutions-early-challenges/";"16,200";"1";"774552";"1"
"12";"https://www.upenn.edu/academics/undergraduate";"4,550";"1859";"951031";"1"
"13";"https://knowledge.wharton.upenn.edu/search/";"16,200";"10";"774552";"1"
"14";"https://knowledge.wharton.upenn.edu/article/why-the-u-s-government-should-regulate-cryptocurrency/";"16,200";"3738";"774552";"1"
"15";"https://knowledge.wharton.upenn.edu/special-report/pushing-progress-around-world/";"16,200";"3";"774552";"1"
"16";"https://knowledge.wharton.upenn.edu/article/why-managers-arent-worried-about-quiet-quitting/";"16,200";"56";"774552";"1"
"17";"https://knowledge.wharton.upenn.edu/article/why-web3-wont-go-mainstream-yet/";"16,200";"0";"774552";"1"
"18";"https://knowledge.wharton.upenn.edu/article/do-vaccine-lotteries-work-maybe/";"16,200";"33";"774552";"1"
"19";"https://knowledge.wharton.upenn.edu/special-report/how-some-industries-are-responding-to-growth-opportunities-in-china/";"16,200";"0";"774552";"1"
"20";"https://knowledge.wharton.upenn.edu/article/when-will-housing-prices-fall/";"16,200";"wait...";"774552";"1"
"21";"https://knowledge.wharton.upenn.edu/article/meet-the-authors-erika-james-and-lynn-perry-wooten-on-the-prepared-leader/";"16,200";"wait...";"774552";"1"
"22";"https://knowledge.wharton.upenn.edu/special-report/festival-of-thinkers-looking-to-the-future/";"16,200";"wait...";"774552";"1"
"23";"https://knowledge.wharton.upenn.edu/article/closing-the-tenure-gap-for-business-faculty-of-color/";"16,200";"wait...";"774552";"1"
"24";"https://knowledge.wharton.upenn.edu/article/is-owning-a-home-today-worth-the-price/";"16,200";"53";"774552";"1"
"25";"https://knowledge.wharton.upenn.edu/article/why-esg-and-cybersecurity-compliance-are-every-employees-concern/";"16,200";"107";"774552";"1"
"26";"https://knowledge.wharton.upenn.edu/special-report/global-push-for-change/";"16,200";"wait...";"774552";"1"
"27";"https://knowledge.wharton.upenn.edu/special-report/summer-reading/";"16,200";"wait...";"774552";"1"
"28";"https://knowledge.wharton.upenn.edu/article/why-have-u-s-household-taxes-soared/";"16,200";"96";"774552";"1"
"29";"https://knowledge.wharton.upenn.edu/article/how-investors-incorporate-climate-risk-into-their-decisions/";"16,200";"0";"774552";"1"
"30";"https://knowledge.wharton.upenn.edu/article/how-do-you-make-a-decision-when-every-option-looks-bad/";"16,200";"1";"774552";"1"
"31";"https://knowledge.wharton.upenn.edu/special-report/making-the-transition-to-a-low-carbon-economy/";"16,200";"wait...";"774552";"1"
